"year","weight","best_num_players","age_rec","games.MfgPlaytime","score"
2000,1.3425,0,6.125,30,5.931
1999,1,0,6,30,6.36683
1997,1.3333,0,8,60,5.94915
1998,2.2044,3,8.44444444444444,45,7.07686
1992,1.8125,0,14,60,6.06596
1992,1.7778,0,7.5,30,5.70327
1998,1.3455,0,8,30,5.8854
1973,2.25,0,12,90,6.9834
1983,2.2727,0,10.875,60,7.12097
2000,1.6164,0,7.6,60,5.69583
1991,3.25,4,12,180,7.10227
1973,2,0,10,40,6.61051
1989,1.1463,0,16,30,6.06378
1994,1.7143,0,8,60,5.83319
1999,2.8421,2,12.1666666666667,210,6.5141
1876,1.25,2,6.08163265306122,30,7.93845
1980,1.4667,0,8,30,5.57124
1999,1.75,0,12,45,6.27076
1987,2.1812,2,8.36363636363636,30,6.45465
1996,2.7742,2,8.8,60,7.09397
1999,2.7455,2,8.27777777777778,60,7.27648
1988,1.75,0,8,60,5.88182
2000,2.6319,0,11.5,60,6.71396
2000,1.2239,0,5.86666666666667,30,5.56466
1999,1.9804,0,10,45,6.40286
1997,1.2692,0,9.33333333333333,60,6.46446
1979,2.5333,0,10,60,6.44098
1979,2.1974,0,9.5,90,6.24326
1996,1.9565,0,10,45,6.33884
1995,2,0,10,120,7.46209
2000,1.2804,0,8.8,30,5.53104
1994,1.25,0,7.66666666666667,60,6.70794
1988,2.6849,0,9.5,120,6.46356
1994,2.2308,0,12,60,7.58245
1988,1.5429,0,8.66666666666667,60,6.32474
1999,2.0955,2,9.41666666666667,45,7.14976
1999,3.0417,4,11.2666666666667,120,7.53447
1999,1.4183,5,15.5294117647059,60,5.71728
2000,3.2764,4,12.3333333333333,120,7.0351
2000,3.2475,5,12.2105263157895,100,7.52664
2000,1.1667,0,6,20,5.25243
2000,2,0,8,30,5.88165
2000,2.8571,0,12,80,6.19936
1997,1.6897,2,7.73076923076923,30,6.37047
2000,2.5128,0,10,60,6.40794
1986,1.8571,0,6,30,6.25129
2000,2.3571,0,10,60,6.15902
2000,2.9762,0,12,90,6.29016
1983,1.4685,0,8.66666666666667,45,6.15782
1989,1.8571,0,10,30,5.83811
1992,1.5714,0,8.66666666666667,60,6.24681
1975,1.3636,0,10,60,6.42174
1991,1.5135,0,8,30,6.43503
1999,2.6818,0,12,90,5.95463
2000,2.1818,0,10,20,6.55197
1983,3.4113,2,12.8421052631579,60,7.87075
1983,1.9822,4,10.5714285714286,60,6.88221
1954,1.2474,4,7.65714285714286,45,5.70346
1938,2.0349,0,9.11111111111111,60,6.76555
1989,1.3333,0,7,60,6.41983
1971,2.4663,4,11.8181818181818,45,6.91567
1996,1.1429,0,12,30,5.85882
1988,1.4118,0,10,60,6.61818
1993,1.4615,0,8,30,5.36358
1997,1.1562,0,9,5,5.93643
1996,2.1818,0,12,60,5.92587
1999,2.52,0,10,60,6.28864
1995,2.1667,0,14,180,6.28333
1999,1,0,4,30,5.9407
1978,1.8889,0,9,15,5.68767
1982,1.28,0,7.33333333333333,5,6.04525
2000,1.9444,0,10,40,6.21892
1995,1.8726,3,10.625,30,6.74006
1993,2.7234,0,13.4285714285714,120,7.31048
1996,1.5319,0,11.3333333333333,35,6.54796
1980,2.4545,0,13,90,6.95812
1997,1.8698,2,7.025,15,6.66289
1980,3.3046,0,10.8571428571429,180,6.69662
2000,2.7059,0,16,0,6.52661
1999,1.5,0,12,20,7.06579
1990,1.7723,3,9.5,70,7.1353
1999,1.1533,6,6.30769230769231,30,6.48261
1997,1.4819,0,11.6,60,5.55636
2000,1.719,4,6.72222222222222,30,6.5019
1995,1.181,6,8,20,6.41108
1995,2.1364,0,12,20,6.8742
2000,2.0456,2,9.84615384615385,30,6.48803
1997,3.7917,0,13.1428571428571,360,6.85596
1992,1.3684,0,10,20,6.10415
1998,2.1,0,8,60,5.81967
1999,2.1111,0,12,90,4.38987
1999,2.1667,0,12,90,5.97797
2000,1.625,0,13,60,5.98489
1998,1.2444,0,8.4,20,6.46264
2000,1.9024,0,8,30,6.1028
1996,1.0909,0,8,30,5.88171
2000,1,0,8,15,6.06919
1990,1.5814,0,9,45,6.22904
1995,1,0,8,10,6.68333
1968,1,0,6,30,6.38788
1995,2.0811,0,10,30,6.56071
1993,1.3784,0,10,45,6.20708
1976,3.1071,0,13.0909090909091,120,6.53283
1983,3,0,14.3333333333333,240,6.3626
1987,2.3182,0,10,120,6.33325
1999,2.7778,0,10,120,5.345
1977,2,0,10,45,5.27625
1998,1.2045,0,10.25,20,4.37405
1992,1.8824,0,9.33333333333333,60,6.22414
1984,2.16,0,8,90,5.76155
1991,1.9283,2,7.9,20,6.86154
2000,1.4681,0,10,30,5.5378
1997,2.3611,0,12,60,6.75802
1999,2.5,0,11,60,6.16218
1984,2.4444,0,16,120,6.43255
1993,2.786,0,10.6666666666667,60,6.65845
2000,2.6513,0,10.75,150,6.71909
1992,1.8333,0,10,30,6.28889
2000,1.3191,0,11,45,6.29205
1973,1.913,0,8.33333333333333,90,6.24374
2000,1.1667,0,18,20,4.65103
1989,2.1576,5,8.64788732394366,90,7.1501
1992,1.8701,2,9.89473684210526,60,6.29095
1981,2.6327,2,12.5,240,7.07239
1985,2,0,10,120,5.97602
1992,1.2206,0,4,45,5.84796
1993,3.0667,0,12,300,6.90565
1975,2.7042,0,11,240,6.9556
1991,3.1765,0,16,180,6.23187
1986,2.5714,0,12,180,6.25882
1977,1.4348,0,8,20,6.19453
1992,2.5,0,10,120,7.05959
1994,2.9814,2,12,180,7.54407
1965,1.4428,6,10.6666666666667,60,6.21894
1983,2.1824,4,9.41666666666667,240,6.35398
1973,2.2377,4,11.5238095238095,180,6.66717
1987,1.2,0,3.5,15,4.95516
2000,2.4154,0,11.6666666666667,90,6.27078
1990,2.3542,0,12.5,120,6.46624
1992,2.1714,0,10,180,6.32872
1992,1.5814,0,8,60,6.13641
1985,2.0588,0,12,120,5.98998
1997,2.8571,0,12,180,7.02128
1992,3.3913,0,14.5555555555556,240,7.68664
1981,1.5,0,13,60,5.54747
1991,3.2069,0,14,180,6.84542
1972,2.7183,0,13.25,180,5.94646
1998,3.125,0,16,240,6.89859
1980,2.1273,0,8.8,10,6.50334
1991,2.6667,0,14,120,6.40307
1978,3.1282,0,13.5,240,6.45769
1982,1.7778,0,6.66666666666667,15,6.12156
1987,3.1636,0,12,360,7.02387
1987,2.62,0,11.5,60,7.01613
1989,3.3119,0,16.1428571428571,1800,7.26836
2000,1.8999,2,9.03571428571429,30,7.4134
2000,1.3061,0,10,60,5.53855
1996,1.2532,0,11.4285714285714,45,5.00742
1999,1.4783,0,6.5,45,5.95776
1967,2.0667,0,9.5,60,6.3433
2000,2.8,0,10,60,6.53952
1992,1.3779,4,6.83783783783784,20,6.29663
2000,2.6154,0,10,90,6.63192
1985,1.3448,0,9,20,6.06098
1966,2.0842,0,11.5,120,6.72781
2000,1.5714,0,12,10,5.9582
1987,2.25,0,12,90,4.54947
1985,2.4198,0,11.1428571428571,120,7.06102
1963,2.3889,0,8.4,45,6.44925
1998,1.7,0,10,30,5.92267
1994,1.3333,0,10.2857142857143,20,6.047
1968,1.5294,0,12,60,5.5177
1988,1.875,0,7,60,5.38364
1986,2.5882,0,17.6666666666667,300,6.4826
1989,2,0,8,30,4.55
1980,1.7544,0,10.5714285714286,20,7.03526
2000,2.6154,0,12,180,6.37923
1978,2.8182,0,15,120,6.85
1982,2.5652,0,12,120,5.7536
1986,1.3625,0,6.8,45,6.65921
2000,2.0065,5,9.71428571428571,90,6.63384
1977,1.7395,4,7.37037037037037,60,6.40131
1995,1.1818,0,7,45,5.38616
1998,1.1373,0,4.7,30,6.04985
2000,1.8429,4,11,30,6.19536
1995,4.04,0,13.5,360,7.0818
1998,2.5,0,12,30,6.26923
1988,2.9333,0,9,15,6.96537
2000,1.9064,2,7.52117263843648,45,7.41883
2000,2.5648,4,9.94285714285714,90,6.74543
1987,1.3214,0,10,20,5.99292
2000,1.605,3,7.1025641025641,45,6.68543
2000,2.5473,0,11,45,6.47896
1982,2.9615,0,12,240,6.37999
2001,1.4348,0,12,45,5.77363
1999,1.7625,0,13.3571428571429,90,6.47311
1998,3.7185,2,14.3157894736842,360,7.76705
1996,1.4328,0,12.8571428571429,30,6.48532
1972,2.625,0,12,120,6.84021
2000,2.625,0,13,120,6.64327
2000,1.6818,0,8.66666666666667,60,6.05147
1992,1.3913,0,7.33333333333333,30,6.36319
1967,2.3058,0,10.8333333333333,90,6.06872
1999,1,0,8,45,5.76514
2000,0,0,8,90,4.82817
1999,1.2727,0,4,25,5.20864
1997,1.3,0,8,30,6.40802
2000,2.5479,0,12,45,6.50347
2000,3.3861,3,12,120,7.00894
1989,1.4,0,8,30,5.75773
1998,1.0667,0,7,20,5.4465
1997,1.1429,0,8,20,5.2962
1982,2.4842,0,12,120,6.18886
1998,2.7692,0,16,180,5.89286
1993,1.2708,0,10,30,5.95808
2000,2.3563,0,11,60,6.17708
1971,1.4286,0,9,90,6.17731
1971,1.4118,0,12,90,5.28156
2000,1.413,0,7,15,6.07702
2000,2.9759,0,14,180,6.62418
2000,1.9615,0,8,30,6.33979
1999,4.1859,2,12.3076923076923,240,7.7313
2000,1.6667,0,8,40,5.63889
2001,1.8401,3,9.77777777777778,45,6.83231
2000,1.6103,4,9.71428571428571,45,6.5389
2000,2.6203,0,13,120,6.14302
1998,2.75,0,9.33333333333333,90,6.92131
1998,1.4278,8,10.7241379310345,60,5.68145
1951,1.913,0,10,30,7.02516
1992,1.6667,0,12,60,4.57798
2000,2.3162,4,10.4285714285714,60,6.88011
2000,1.0745,0,6,40,6.81159
2000,2.109,5,9.88235294117647,60,7.05277
1979,1.6,0,8,30,5.73889
1983,1.7,0,8,45,5.8831
1973,1.4911,0,6.625,30,6.14755
1995,2.3846,0,10,60,6.43647
1980,3.5439,0,14.8,360,7.16411
2000,3.193,0,14,240,6.92564
2000,1,0,8,20,5.07895
1995,2.2025,5,10.7142857142857,90,6.5372
2000,1.2222,0,4.33333333333333,30,5.87
1956,1.1976,0,7.1578947368421,45,5.78218
1999,1.3704,0,12.6666666666667,60,6.11843
1963,1.2772,0,8,20,6.18922
1986,1.3969,13,8.8125,60,6.52483
2000,1.2,0,8,20,5.06333
1995,1.2934,6,8.625,60,6.5681
1974,1.5,0,8,0,6.48333
1996,1.7542,0,7.8125,45,6.75839
1990,1.8,0,12,90,5.8271
1994,2.6471,0,11,240,6.95804
1987,2.5955,0,12,180,6.9296
1995,3.5833,0,15,180,6.84983
1981,1.2599,0,5.05555555555556,60,5.71836
2000,2.4873,2,10,120,7.5636
1990,1.5714,0,11,45,6.02057
2000,1.475,0,8,30,6.05609
1988,1.1837,4,7.2,10,6.18566
1998,1.5405,0,8,60,5.90383
1962,2.5053,0,8,30,6.58862
2000,2.3556,0,10.6666666666667,30,6.57577
1959,1.5556,0,10,150,6.42525
1991,1.8571,0,14,60,5.31944
1999,2.0833,0,8,60,6.02789
1998,3.3846,0,15,240,6.00533
1996,3.3158,0,15,60,7.15733
1993,1.8036,0,8.4,60,6.15759
1994,1.1,0,4,30,6.22467
1996,1.7407,0,8,60,5.6435
2000,1.1875,0,5.33333333333333,30,5.84969
2000,1.7672,2,10.6,60,5.9658
1981,2.1373,0,12.5,150,6.06841
1980,1.5,0,6,10,5.75329
2000,2.3971,2,11.4117647058824,60,6.65679
1974,3.0691,5,12.4761904761905,240,6.51109
2000,1.3,0,5.5,30,6.12898
2000,2.8571,0,10,15,6.68769
1978,2,0,8,30,5.9
1994,2.3214,0,8.66666666666667,60,6.34306
1995,1.8333,0,11,45,5.3099
1994,1,0,6,20,5.36618
1974,2.3333,0,10,45,6.43333
